1|La Mesa de los Galanes|LaMesa.png|LaMesa|Uruguay|Humor y actualidad con la participación de Jorge Piñeyrúa, Rafael Cotelo, Pablo Fabregat, Diego González, Pablo Aguirrezábal, Camilo Fernández y Gastón Carbajal.|Del Sol|5|https://delsol.uy//feed/lamesa||/Podcasts/DelSol/LaMesa|Del Sol|1|True|True
2|De Arriba Un Rayo|DeArriba.png|DeArriba|Uruguay|De Arriba un Rayo. Un programa de Juguete.|Oceano|5|https://www.oceano.uy/api/podcast.php|DeArribaunRayo|/Podcasts/Oceano/DeArriba|Oceano|2|False|True
3|Darwin|Darwin.png|Darwin|Uruguay|Dawrin Desbocati|Del Sol|5|https://delsol.uy//feed/darwin||/Podcasts/DelSol/Darwin|Del Sol|8|False|True
4|Justicia Infinita|Justicia.png|Justicia|Uruguay|Justicia Infinita|Oceano|4|https://www.oceano.uy/api/podcast.php|JusticiaInfinita|/Podcasts/Oceano/Justicia|Oceano|3|False|True
5|La Venganza|Venganza.png|Venganza|Argentina|Alejandro Dolina. Patricio Barton. El trio sin nombre. Gillespi. Medianoche por AM 750.|Del Sol|5|https://venganzasdelpasado.com.ar/posts.rss||/Podcasts/DelSol/Venganza|Del Sol|9|False|True
6|Facil Desviarse|Facil.png|Facil|Uruguay|Facil Desviarse|Del Sol|4|https://delsol.uy//feed/facildesviarse||/Podcasts/DelSol/Facil|Del Sol|5|False|True
7|Todo Pasa|Todo.png|Todo|Uruguay|Programa periodístico de Oceano FM con Mariano Lopez, Andres Reyes, Majo Borjes e Ines Pereira.|Oceano|5|https://www.oceano.uy/api/podcast.php|TodoPasa|/Podcasts/Oceano/Todo|Oceano|4|True|True
8|Coffee Break|CoffeeBreak.png|CoffeeBreak|Spain|Coffee Break: Señal y Ruido es la tertulia semanal en la que, medio en broma medio en serio, repasamos las últimas noticias de la actualidad científica.|Ciencia|5|https://www.ivoox.com/coffee-break-senal-ruido_fg_f1172891_filtro_1.xml||/Podcasts/Ciencia/CoffeeBreak||16|False|False
9|Astroblog|Astroblog.png|Astroblog|Chile|Astronomia y Algo Mas es un podcast de Astronomía creado por Ricardo Garcia.|Ciencia|4|http://www.astroblog.cl/feed/||/Podcasts/Ciencia/Astroblog||15|False|False
10|Puro Mac|PuroMac.png|PuroMac|USA|Puromac es una conversación sobre todo el mundo de Apple entre dos viejos amigos, uno que originalmente era un fanático de Windows, y el otro que es un entusiasta de Apple de toda la vida.|Tecnologia|4|http://feeds.5by5.tv/puromac||/Podcasts/Tecnologia/PuroMac||11|False|False
11|Electronic Groove|ElectronicGroove.png|ElectronicGroove|USA|Electronic Groove|Electronic|5|http://www.electronicgroove.com/Podcast/podcast.rss||/Podcasts/Electronic/ElectronicGroove||21|False|False
12|Deeper Shades of House|DSOH.png|DSOH|USA|Deeper Shades of House - Deep House Podcast with Lars Behrenroth|Electronic|5|http://feeds.deepershades.net/dsoh||/Podcasts/Electronic/DSOH||22|False|False
13|DJ Tintin Reto Mix|DJTintin.png|DJTintin|USA|DJ Tintin Retro Mix|Electronic|5|||/Podcasts/Electronic/DJTintin||25|False|False
15|Quien te dice|Quien.png|Quien|Uruguay|Quien te dice|Del Sol|3|https://delsol.uy//feed/quientedice||/Podcasts/DelSol/Quien|Del Sol|6|False|True
16|Mac Break Weekly|MacBreak.png|MacBreak|USA|Get the latest Apple news and views from the top names in Mac, iPhone, iPod, and iPad journalism.|Tecnologia|5|http://feeds.twit.tv/mbw.xml||/Podcasts/Tecnologia/MacBreak||12|False|False
17|Tech News Weekly|TechNewsWeekly.png|TechNewsWeekly|USA|Tech News Weekly hosted by Jason Howell and Megan Morrone brings you interviews from tech journalists who make or break the top stories of the week.|Tecnologia|4|http://feeds.twit.tv/tnw.xml||/Podcasts/Tecnologia/TechNewsWeekly||14|False|False
18|Ask a Spaceman|AskASpaceman.png|AskASpaceman|USA|Ask a Spaceman - Paul M Sutter|Ciencia|5|https://askaspaceman.libsyn.com/rss||/Podcasts/Ciencia/AskASpaceman||17|False|False
19|La Brujula de la Ciencia|LaBrujula.png|LaBrujula|Spain|La Brujula de la Ciencia|Ciencia|3|https://www.ivoox.com/brujula-ciencia_fg_f1171949_filtro_1.xml||/Podcasts/Ciencia/LaBrujula||18|False|False
20|DJ Frankie Vazquez|DJFrankieVazquez.png|DJFrankieVazquez|USA|DJ Frankie Vazquez brings you Full Mixes of EDM / Trance / House Music / Reggaeton / Freestyle / Hip Hop / and more.|Electronic|3|http://djfrankievazquez.podbean.com/feed.xml||/Podcasts/Electronic/DJFrankieVazquez||24|False|False
21|No Toquen Nada|NoToquenNada.png|NoToquenNada|Uruguay|No Toquen Nada|Del Sol|5|https://delsol.uy//feed/notoquennada||/Podcasts/DelSol/NoToquenNada|Del Sol|7|False|True
22|This Week in Tech|TWIT.png|TWIT|USA|Hosted by Leo Laporte Your first podcast of the week is the last word in tech. Join the top tech pundits in a roundtable discussion of the latest trends in high tech|Tecnologia|4|http://feeds.twit.tv/twit.xml||/Podcasts/Tecnologia/TWIT|TWIT|13|False|False
23|Talk Python To Me|TalkPython.png|TalkPython|USA|A podcast on Python and related technologies|Program|5|https://talkpython.fm/episodes/rss||/Podcasts/Program/TalkPython||19|False|False
24|Song Explorer|SongExplorer.png|SongExplorer|USA||Music|1|http://feed.songexploder.net/songexploder||/Podcasts/Music/SongExplorer||25|False|True
25|The Album Club|TheAlbumClub.png|TheAlbumClub|USA||Music|2|http://www.podcasts.com/rss_feed/b1036836c6dbdf10124d4a603ab87525||/Podcasts/Music/TheAlbumClub||26|False|False
26|Esto Con Jobs No Pasaba|EstoConJobsNoPasaba.jpg|EstoConJobsNoPasaba|Spain|El programa de Tecnología, donde no sólo se habla de Tecnología.|Tecnologia|3|https://feedpress.me/conjobsno||/Podcasts/Tecnologia/EstoConJobsNoPasaba|AVPodcast|14|False|False
27|Packet Pushers|PacketPushers.jpg|PacketPushers|USA||Tecnologia|2|https://feeds.packetpushers.net/packetpushersfatpipe||/Podcasts/Tecnologia/PacketPushers||19|True|True
28|Catastrofe Ultravioleta|Ultravioleta.png|Ultravioleta|Spain|Catástrofe Ultravioleta, el nuevo podcast de ciencia de Javier Peláez y Antonio Martínez Ron, con el apoyo de la Cátedra de Cultura Científica de la UPV/EHU y la Fundación Euskampus.|Ciencia|3|http://www.ivoox.com/podcast-catastrofe-ultravioleta_fg_f1107209_filtro_1.xml||/Podcasts/Ciencia/Ultravioleta||18|False|False
29|El Chiringuito de Jugones|Chiringuito.png|Chiringuito|Spain|Tertulia futbolistica de Mega|Sports|3|https://www.ivoox.com/chiringuito-jugones_fg_f1617621_filtro_1.xml||/Podcasts/Deportes/Chiringuito||10|False|True
30|Appsmac en 8 minutos|AppsMac.png|AppsMac|Spain|Aplicaciones para iPhone, iPad o Mac y experiencias de un usuario de OS X en movilidad.|Tecnologia|3|http://feedpress.me/A8M||/Podcasts/Tecnologia/AppsMac|Av Podcast|14|False|False
31|Daniel and Jorge|DanielAndJorge.png|DanielAndJorge|USA|A fun-filled discussion of the big, mind-blowing, unanswered questions about the Universe. Daniel Whiteson (a Physicist who works at CERN) and Jorge Cham (a popular online cartoonist).|Ciencia|4|https://feeds.megaphone.fm/danielandjorgeexplaintheuniverse||/Podcasts/Ciencia/DanielAndJorge||18|False|True
32|Coqueto Escenario|CoquetoEscenario.png|CoquetoEscenario|Uruguay|Periodista deportivo nacido en 1931. En Uruguay. Menos proceso y más pierna fuerte.|Oceano|3|https://www.oceano.uy/api/podcast.php|oquetoescenario,dusto|/Podcasts/Oceano/Coqueto|Oceano|4|False|True
33|Gustaff|Gustaf.png|Gustaf|Uruguay|El Humor Salvara el Mundo. Gustaff en Todo Pasa|Oceano|3|https://www.oceano.uy/api/podcast.php|Seba,Adonis,Planchon,Negativo|/Podcasts/Oceano/Gustaf|Oceano|4|False|True
34|Oceano|Oceano.png|Oceano|Uruguay|Oceano|Oceano|5|https://www.oceano.uy/api/podcast.php||/Podcasts/Oceano/Oceano|Oceano|4|False|True
35|13 a 0|13a0.png|13a0|Uruguay||Sports|1|https://delsol.uy//feed/13a0||/Podcasts/DelSol/13a0|Del Sol|9|False|True
36|Ernesto|Ernesto.png|Ernesto|Uruguay|Ernesto el Robot|Oceano|4|https://www.oceano.uy/api/podcast.php|ernesto|/Podcasts/Oceano/Ernesto|Oceano||False|False
37|Oceano Sports Radio|OSR.jpg|OceanoSportsRadio|Uruguay||Oceano|1|https://www.oceano.uy/api/podcast.php|OSR|/Podcasts/Oceano/OceanoSportsRadio|Oceano||False|True
38|Abrepalabra|Abrepalabra.jpg|Abrepalabra|Uruguay||Oceano|3|https://www.oceano.uy/api/podcast.php|Abrepalabra|/Podcasts/Oceano/Abrepalabra|||False|True
