1|Del Sol FM 99.5||airable://1915227152872830|2
2|Oceano FM||airable://4510209569707513|1
3|AM 810 Radio El Espectador||airable://8899959941394628|4
4|FM Tiempo||https://unlimited4-us.dps.live/fmtiempo/mp3/icecast.audio|44
5|Radio Futura||airable://8844804005231709|11
6|Metro 95.1||airable://8511090973392130|5
7|Sport 890||airable://8590732141863556|3
8|Jazz FM||airable://6266727484762669|10
9|Beethoven FM||airable://2268666796851903|102
10|Radio Swiss Jazz||airable://3823831624817103|103
11|Studio92||airable://8890096989460290|51
12|Play FM 100.9||airable://9010325893759728|101
13|Babel 97.1 FM||airable://1987713147420436|58
14|The Jazz Groove||airable://2936551363207400|62
15|Jazz London Radio||airable://4432727168779820|69
16|Sonar FM 105.3||airable://4249437435064465|6
17|Zero 97.7||airable://5629329237155617|8
18|Nacional Rock||airable://6865851556882263|25
19|Radio X London||airable://3397611022926867|9
20|Programa completo del 04/07/2019 |Preset 20|https://cdn.espectador.com/810mp3/2229.mp3|105
